State Name,State Code,Unemployment Rate August 2025,Median Household Income,Voting Results 2016,Voting Results 2020,Voting Results 2024,Electoral College Votes
Alabama,AL,2.9,"62,027",R,R,R,9
Alaska,AK,4.7,"89,336",R,R,R,3
Arizona,AZ,4.1,"76,872",R,D,R,11
Arkansas,AR,3.8,"58,773",R,R,R,6
California,CA,5.5,"96,334",D,D,D,54
Colorado,CO,4.2,"92,470",D,D,D,10
Connecticut,CT,3.8,"93,760",D,D,D,7
Delaware,DE,4.3,"82,855",D,D,D,3
Florida,FL,3.8,"71,711",R,R,R,30
Georgia,GA,3.4,"74,664",R,D,R,16
Hawaii,HI,2.7,"98,317",D,D,D,4
Idaho,ID,3.7,"74,636",R,R,R,4
Illinois,IL,4.4,"81,702",D,D,D,19
Indiana,IN,3.6,"70,051",R,R,R,11
Iowa,IA,3.8,"73,147",R,R,R,6
Kansas,KS,3.8,"72,639",R,R,R,6
Kentucky,KY,4.7,"62,417",R,R,R,8
Louisiana,LA,4.4,"60,023",R,R,R,8
Maine,ME,3.2,"71,773",D,D,D,4
Maryland,MD,3.6,"101,652",D,D,D,10
Massachusetts,MA,4.8,"101,341",D,D,D,11
Michigan,MI,5.2,"71,149",R,D,R,15
Minnesota,MN,3.6,"87,556",D,D,D,10
Mississippi,MS,3.9,"54,915",R,R,R,6
Missouri,MO,4.1,"68,920",R,R,R,10
Montana,MT,2.9,"69,922",R,R,R,4
Nebraska,NE,3,"74,985",R,R,R,5
Nevada,NV,5.3,"75,561",D,D,R,6
New Hampshire,NH,3,"95,628",D,D,D,4
New Jersey,NJ,5,"101,050",D,D,D,14
New Mexico,NM,4.1,"62,125",D,D,D,5
New York,NY,4,"84,578",D,D,D,28
North Carolina,NC,3.7,"69,904",R,R,R,16
North Dakota,ND,2.5,"75,949",R,R,R,3
Ohio,OH,5,"69,680",R,R,R,17
Oklahoma,OK,3.1,"63,603",R,R,R,7
Oregon,OR,5,"80,426",D,D,D,8
Pennsylvania,PA,4,"76,081",R,D,R,19
Rhode Island,RI,4.6,"86,372",D,D,D,4
South Carolina,SC,4.3,"66,818",R,R,R,9
South Dakota,SD,1.9,"72,421",R,R,R,3
Tennessee,TN,3.6,"67,096",R,R,R,11
Texas,TX,4.1,"76,292",R,R,R,40
Utah,UT,3.3,"91,750",R,R,R,6
Vermont,VT,2.5,"78,024",D,D,D,3
Verginia,VA,3.6,"90,974",D,D,D,13
Washington,WA,4.5,"94,952",D,D,D,12
West Virginia,WV,3.8,"57,917",R,R,R,4
Wisconsin,WI,3.1,"75,670",R,D,R,10
Wyoming,WY,3.2,"74,815",R,R,R,3
,,,,,,,
D.C.,DC,6,"106,287",D,D,D,3
Puerto Rico,PR,,"25,096",,,,
